district_id,lb_code,lb_name_english,lb_type_csn,lb_type,district_name,lb_name_full
2,D020000,Kollam,3,District,Kollam District ,"Kollam District, Kollam District "
3,D030000,Pathanamthitta,3,District,Pathanamthitta District ,"Pathanamthitta District, Pathanamthitta District "
4,D040000,Alappuzha,3,District,Alappuzha District ,"Alappuzha District, Alappuzha District "
5,D050000,Kottayam,3,District,Kottayam District ,"Kottayam District, Kottayam District "
6,D060000,Idukki,3,District,Idukki District ,"Idukki District, Idukki District "
7,D070000,Ernakulam,3,District,Ernakulam District ,"Ernakulam District, Ernakulam District "
8,D080000,Thrissur,3,District,Thrissur District ,"Thrissur District, Thrissur District "
9,D090000,Palakkad,3,District,Palakkad District ,"Palakkad District, Palakkad District "
10,D100000,Malappuram,3,District,Malappuram District ,"Malappuram District, Malappuram District "
11,D110000,Kozhikkode,3,District,Kozhikode District ,"Kozhikkode District, Kozhikode District "
12,D120000,Wayanad,3,District,Wayanad District ,"Wayanad District, Wayanad District "
13,D130000,Kannur,3,District,Kannur District ,"Kannur District, Kannur District "
14,D140000,Kasargod,3,District,Kasaragod District ,"Kasargod District, Kasaragod District "
1,C010100,Thiruvananthapuram,20,Corporation,Thiruvananthapuram District ,"Thiruvananthapuram Corporation, Thiruvananthapuram District "
2,C020100,Kollam,20,Corporation,Kollam District ,"Kollam Corporation, Kollam District "
7,C070100,Cochin,20,Corporation,Ernakulam District ,"Cochin Corporation, Ernakulam District "
8,C080100,Thrissur,20,Corporation,Thrissur District ,"Thrissur Corporation, Thrissur District "
11,C110100,Kozhikkode,20,Corporation,Kozhikode District ,"Kozhikkode Corporation, Kozhikode District "
9,M090100,Ottappalam,10,Muncipality,Palakkad District ,"Ottappalam Muncipality, Palakkad District "
5,M050100,Pala,10,Muncipality,Kottayam District ,"Pala Muncipality, Kottayam District "
9,B090700,Palakkad,2,Block Panchayat,Palakkad District ,"Palakkad Block Panchayat, Palakkad District "
9,M090400,Palakkad,10,Muncipality,Palakkad District ,"Palakkad Muncipality, Palakkad District "
5,B050800,Pallom,2,Block Panchayat,Kottayam District ,"Pallom Block Panchayat, Kottayam District "
7,B070800,Palluruthy,2,Block Panchayat,Ernakulam District ,"Palluruthy Block Panchayat, Ernakulam District "
5,B050700,Pampady,2,Block Panchayat,Kottayam District ,"Pampady Block Panchayat, Kottayam District "
7,B071200,Pampakuda,2,Block Panchayat,Ernakulam District ,"Pampakuda Block Panchayat, Ernakulam District "
12,B120200,Panamaram,2,Block Panchayat,Wayanad District ,"Panamaram Block Panchayat, Wayanad District "
3,M030400,Pandalam,10,Muncipality,Pathanamthitta District ,"Pandalam Muncipality, Pathanamthitta District "
13,B130800,Panoor,2,Block Panchayat,Kannur District ,"Panoor Block Panchayat, Kannur District "
13,M130900,Panoor,10,Muncipality,Kannur District ,"Panoor Muncipality, Kannur District "
11,B110800,Panthalayani,2,Block Panchayat,Kozhikode District ,"Panthalayani Block Panchayat, Kozhikode District "
7,B071300,Parakkadavu,2,Block Panchayat,Ernakulam District ,"Parakkadavu Block Panchayat, Ernakulam District "
14,B140500,Parappa,2,Block Panchayat,Kasaragod District ,"Parappa Block Panchayat, Kasaragod District "
10,M101000,Parappanangadi,10,Muncipality,Malappuram District ,"Parappanangadi Muncipality, Malappuram District "
2,M020200,Paravoor,10,Muncipality,Kollam District ,"Paravoor Muncipality, Kollam District "
7,B070100,Paravur,2,Block Panchayat,Ernakulam District ,"Paravur Block Panchayat, Ernakulam District "
3,M030300,Pathanamthitta,10,Muncipality,Pathanamthitta District ,"Pathanamthitta Muncipality, Pathanamthitta District "
9,B090200,Pattambi,2,Block Panchayat,Palakkad District ,"Pattambi Block Panchayat, Palakkad District "
9,M090500,Pattambi,10,Muncipality,Palakkad District ,"Pattambi Muncipality, Palakkad District "
13,B130100,Payyannur,2,Block Panchayat,Kannur District ,"Payyannur Block Panchayat, Kannur District "
13,M130400,Payyannur,10,Muncipality,Kannur District ,"Payyannur Muncipality, Kannur District "
11,M110400,Payyoli,10,Muncipality,Kozhikode District ,"Payyoli Muncipality, Kozhikode District "
8,B080400,Pazhayannur,2,Block Panchayat,Thrissur District ,"Pazhayannur Block Panchayat, Thrissur District "
